Date;Nouveaux cas;Cumulatif de cas;
2020-02-25;1;1;
2020-02-26;0;1;
2020-02-27;0;1;
2020-02-28;0;1;
2020-02-29;0;1;
2020-03-01;1;2;
2020-03-02;2;4;
2020-03-03;0;4;
2020-03-04;0;4;
2020-03-05;0;4;
2020-03-06;0;4;
2020-03-07;0;4;
2020-03-08;1;5;
2020-03-09;1;6;
2020-03-10;2;8;
2020-03-11;3;11;
2020-03-12;3;14;
2020-03-13;2;16;
2020-03-14;5;21;
2020-03-15;6;27;
2020-03-16;5;32;
2020-03-17;7;39;
2020-03-18;6;45;
2020-03-19;35;80;
2020-03-20;49;129;
2020-03-21;91;220;
2020-03-22;88;308;
2020-03-23;132;440;
2020-03-24;145;585;
2020-03-25;184;769;
2020-03-26;179;948;
2020-03-27;239;1187;
2020-03-28;198;1385;
2020-03-29;258;1643;
2020-03-30;264;1907;
2020-03-31;329;2236;
2020-04-01;303;2539;
2020-04-02;407;2946;
2020-04-03;347;3293;
2020-04-04;340;3633;
2020-04-05;258;3891;
2020-04-06;455;4346;
2020-04-07;421;4767;
2020-04-08;372;5139;
2020-04-09;350;5489;
2020-04-10;305;5794;
2020-04-11;261;6055;
2020-04-12;327;6382;
2020-04-13;542;6924;
2020-04-14;468;7392;
2020-04-15;610;8002;
2020-04-16;496;8498;
2020-04-17;568;9066;
2020-04-18;330;9396;
2020-04-19;427;9823;
2020-04-20;480;10303;
2020-04-21;456;10759;
2020-04-22;529;11288;
2020-04-23;523;11811;
2020-04-24;491;12302;
2020-04-25;312;12614;
2020-04-26;282;12896;
2020-04-27;461;13357;
2020-04-28;470;13827;
2020-04-29;517;14344;
2020-04-30;587;14931;
2020-05-01;613;15544;
2020-05-02;525;16069;
2020-05-03;344;16413;
2020-05-04;419;16832;
2020-05-05;466;17298;
2020-05-06;568;17866;
2020-05-07;429;18295;
2020-05-08;427;18722;
2020-05-09;311;19033;
2020-05-10;297;19330;
2020-05-11;362;19692;
2020-05-12;426;20118;
2020-05-13;398;20516;
2020-05-14;352;20868;
2020-05-15;341;21209;
2020-05-16;271;21480;
2020-05-17;341;21821;
2020-05-18;330;22151;
2020-05-19;319;22470;
2020-05-20;405;22875;
2020-05-21;376;23251;
2020-05-22;256;23507;
2020-05-23;216;23723;
2020-05-24;216;23939;
2020-05-25;203;24142;
2020-05-26;239;24381;
2020-05-27;252;24633;
2020-05-28;193;24826;
2020-05-29;192;25018;
2020-05-30;205;25223;
2020-05-31;140;25363;
2020-06-01;155;25518;
2020-06-02;97;25615;
2020-06-03;114;25729;
2020-06-04;125;25854;
2020-06-05;109;25963;
2020-06-06;105;26068;
2020-06-07;75;26143;
2020-06-08;51;26194;
2020-06-09;78;26272;
2020-06-10;67;26339;
2020-06-11;66;26405;
2020-06-12;71;26476;
2020-06-13;65;26541;
2020-06-14;28;26569;
2020-06-15;56;26625;
2020-06-16;74;26699;
2020-06-17;53;26752;
2020-06-18;48;26800;
2020-06-19;64;26864;
2020-06-20;33;26897;
2020-06-21;27;26924;
2020-06-22;41;26965;
2020-06-23;40;27005;
2020-06-24;29;27034;
2020-06-25;45;27079;
2020-06-26;42;27121;
2020-06-27;30;27151;
2020-06-28;18;27169;
2020-06-29;16;27185;
2020-06-30;39;27224;
2020-07-01;23;27247;
2020-07-02;16;27263;
2020-07-03;17;27280;
2020-07-04;16;27296;
2020-07-05;7;27303;
2020-07-06;16;27319;
2020-07-07;21;27340;
2020-07-08;33;27373;
2020-07-09;52;27425;
2020-07-10;48;27473;
2020-07-11;22;27495;
2020-07-12;13;27508;
2020-07-13;75;27583;
2020-07-14;64;27647;
2020-07-15;69;27716;
2020-07-16;66;27782;
2020-07-17;99;27881;
2020-07-18;97;27978;
2020-07-19;55;28033;
2020-07-20;37;28070;
2020-07-21;61;28131;
2020-07-22;78;28209;
2020-07-23;94;28303;
2020-07-24;69;28372;
2020-07-25;34;28406;
2020-07-26;52;28458;
2020-07-27;33;28491;
2020-07-28;36;28527;
2020-07-29;68;28595;
2020-07-30;58;28653;
2020-07-31;56;28709;
2020-08-01;49;28758;
2020-08-02;31;28789;
2020-08-03;45;28834;
2020-08-04;65;28899;
2020-08-05;46;28945;
2020-08-06;21;28966;
2020-08-07;45;29011;
2020-08-08;35;29046;
2020-08-09;37;29083;
2020-08-10;34;29117;
2020-08-11;36;29153;
2020-08-12;35;29188;
2020-08-13;38;29226;
2020-08-14;29;29255;
2020-08-15;14;29269;
2020-08-16;12;29281;
2020-08-17;17;29298;
2020-08-18;17;29315;
2020-08-19;22;29337;
2020-08-20;34;29371;
2020-08-21;32;29403;
2020-08-22;19;29422;
2020-08-23;21;29443;
2020-08-24;8;29451;
2020-08-25;29;29480;
2020-08-26;41;29521;
2020-08-27;43;29564;
2020-08-28;25;29589;
2020-08-29;54;29643;
2020-08-30;14;29657;
2020-08-31;32;29689;
2020-09-01;36;29725;
2020-09-02;35;29760;
2020-09-03;72;29832;
2020-09-04;49;29881;
2020-09-05;63;29944;
2020-09-06;57;30001;
2020-09-07;50;30051;
2020-09-08;71;30122;
2020-09-09;69;30191;
2020-09-10;90;30281;
2020-09-11;107;30388;
2020-09-12;71;30459;
2020-09-13;97;30556;
2020-09-14;71;30627;
2020-09-15;92;30719;
2020-09-16;78;30797;
2020-09-17;70;30867;
2020-09-18;197;31064;
2020-09-19;141;31205;
2020-09-20;200;31405;
2020-09-21;138;31543;
2020-09-22;168;31711;
2020-09-23;254;31965;
2020-09-24;233;32198;
2020-09-25;286;32484;
2020-09-26;352;32836;
2020-09-27;273;33109;
2020-09-28;280;33389;
2020-09-29;355;33744;
2020-09-30;316;34060;
2020-10-01;311;34371;
2020-10-02;416;34787;
2020-10-03;365;35152;
2020-10-04;298;35450;
2020-10-05;277;35727;
2020-10-06;254;35981;
2020-10-07;300;36281;
2020-10-08;346;36627;
2020-10-09;282;36909;
2020-10-10;192;37101;
2020-10-11;323;37424;
2020-10-12;266;37690;
2020-10-13;199;37889;
